案例编号,事件名称,"【第一层：通用核心维度】
公众诉求","【第一层：通用核心维度】
热度等级(1-5级）","【第一层：通用核心维度】
回应速度","【第一层：通用核心维度】
处置效果（1-5级）","【第一层：通用核心维度】
策略逻辑类型","【第二层：文化传播类】
涉事主题","【第二层：文化传播类】
载体靶点","【第二层：文化传播类】
舆情诱因","【第二层：文化传播类】
文化禁忌触碰","【第二层：思想政治教育类】
涉事主体","【第二层：思想政治教育类】
载体靶点","【第二层：思想政治教育类】
舆情诱因","【第二层：思想政治教育类】
青年群体共情度","【第二层：政府管理类】
政务主体","【第二层：政府管理类】
载体靶点","【第二层：政府管理类】
舆情诱因","【第二层：政府管理类】
官方通报致命伤","【第二层：技术分析类】
涉事主体","【第二层：技术分析类】
载体靶点","【第二层：技术分析类】
舆情诱因",核心处置策略（100 字内）,事件核心描述（100 字内）,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH001,丽江市古城区文化和旅游局公开发函喊话小红书（2025）,要求政策/规则修改,2级（主榜热搜31-50名）,常规级（24-48h）,4级（显著修复）,行动补救型,品牌方/大中型企业,跨平台内容搬运博主（B站/豆瓣/小红书内容截图搬运）,营销翻车 / 虚假宣传 / 虚假人设崩塌,无,,,,,,,,,,,,文旅局称多次联系小红书未果，最终通过公开函要求平台指派专人对接、建立专项审核机制。,小红书对婚拍领域"不实避雷帖"审核不力，部分消费者利用夸张标题、虚构内容胁迫商家退款，导致企业直接退订损失100余万元，间接损失超500万元。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH002,江西葛仙村度假区网红NPC“小黄鱼”擦边互动争议（2026）,要求道歉,5级（主榜前3/“爆”）,快速级（4-24h）,4级（显著修复）,"行动补救型,快速道歉型",品牌方/大中型企业,跨平台内容搬运博主（B站/豆瓣/小红书内容截图搬运）,产品质量缺陷 / 消费者权益受损,无,,,,,,,,,,,,景区和“小黄鱼”本人先后发布致歉声明，宣布全面整改，包括规范NPC互动形式、加强职业培训、设立监督机制。景区管理人员当众鞠躬道歉；工作人员证实争议互动已取消，改为赠送簪花等传统文化相关环节。,2026年5月1日，《民生周刊》发文批评景区NPC互动低俗化，点名葛仙村“小黄鱼”用嘴喂糖等行为，称其背离文化传播初衷，可能对未成年人造成不良影响。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH003,苹果龙年手机壳被吐槽指蟒为龙（2024）,情绪宣泄,2级（主榜热搜31-50名）,常规级（24-48h）,2级（无实质变化）,拖延沉默型,品牌方/大中型企业,"微博文娱榜 / 主榜热搜词条,当事人/品牌官方微博评论区（前排广场）",产品质量缺陷 / 消费者权益受损,无,,,,,,,,,,,,官方并未做出实质性的举措只回应以官网信息为准，随后随着热度消散，人们渐渐适应。,2024年1月21日，为迎接即将到来的农历龙年，苹果推出了AirPods Pro 2龙年特别款，随后有网友指出：中国传统文化里“五爪为龙 四爪为蟒”，实为指蟒为龙。但也有声音表示，中国传统文化中的龙并非一开始就有五爪，而是从三爪、四爪到五爪发展过来的。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH004,鞠婧祎被丝芭实名举报涉嫌偷税漏税（2026）,要求信息公开,5级（主榜前3/“爆”）,"常规级（24-48h）,滞后级（>48h）",1级（负面升级）,拖延沉默型,明星/艺人/公众人物,"微博文娱榜 / 主榜热搜词条,娱乐营销号 / 八卦大V矩阵",粉丝互撕 / 寻衅滋事 / 饭圈拉踩,无,,,,,,,,,,,,税务部门通报鞠婧祎的税务未发现异常，舆论止息,3月30日，艺人鞠婧祎被实名举报涉嫌偷税漏税，税务部门已受理核查，举报材料称其2024年瞒报收入比例高达88%。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH005,广西阳朔辟谣卖花环老人生活孤苦（2026）,要求信息公开,3级（主榜热搜11-30）,滞后级（>48h）,3级（恶化控制）,行动补救型,独立创作者（知名KOL、网文作者、画师等）,"跨平台内容搬运博主（B站/豆瓣/小红书内容截图搬运）,微博文娱榜 / 主榜热搜词条",营销翻车 / 虚假宣传 / 虚假人设崩塌,无,,,,,,,,,,,,4月27日，造谣赵雅芝去世的博主道歉。,2024年4月24日，网传赵雅芝去世，赵雅芝工作室发文辟谣称传言不实。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH006,造谣“赵雅芝去世”博主道歉（2024）,"要求问责,要求道歉",3级（主榜热搜11-30）,常规级（24-48h）,4级（显著修复）,快速道歉型,明星/艺人/公众人物,当事人/品牌官方微博评论区（前排广场）,营销翻车 / 虚假宣传 / 虚假人设崩塌,无,,,,,,,,,,,,4月28日，桂林举报辟谣平台、阳朔县委网信办联合核查后正式辟谣：网传内容均不属实。官方指出，该不实信息系个别网友未经核实误传或演绎而成，呼吁公众理性传递善意，勿消费悲情、传播不实信息。,2026年4月25日起，社交媒体开始出现“广西阳朔杨堤码头89岁售卖花环老人无儿无女、生活孤苦”的不实信息，相关悲情叙事短视频与图文在4月26日—27日广泛扩散，引发大规模同情与转发。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH007,2男子造谣雄性大熊猫成功自然交配被拘（2026）,要求问责,3级（主榜热搜11-30）,快速级（4-24h）,4级（显著修复）,快速道歉型,独立创作者（知名KOL、网文作者、画师等）,跨平台内容搬运博主（B站/豆瓣/小红书内容截图搬运）,营销翻车 / 虚假宣传 / 虚假人设崩塌,无,,,,,,,,,,,,当日，成都高新区多部门联合约谈涉事酒店，责令立即整改，并启动全区酒店行业专项整治，后续将依法严肃追责。,2026年5月25日，媒体暗访曝光成都维也纳、全季两家连锁酒店保洁卫生乱象。视频显示，保洁人员违规将客用毛巾当“万能抹布”，擦拭全程未按规定消毒或更换布草。记者提出消杀、换巾要求后，保洁仅用7分钟完成打扫，未落实任何规范流程。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH008,顾客被张雪店员教唆偷开无牌照机车（2026）,要求问责,1级（“实时上升热点”/“文娱榜/同城榜”低位）,快速级（4-24h）,5级（转负为正）,行动补救型,品牌方/大中型企业,微博文娱榜 / 主榜热搜词条,产品质量缺陷 / 消费者权益受损,无,,,,,,,,,,,,二人行为构成故意虚构事实扰乱公共秩序，警方依据《治安管理处罚法》第二十九条对其予以行政拘留，并依法关停相关网络账号。,违法行为人董某某、高某某为博取关注、吸引流量，利用技术手段伪造虚假新闻报道截图并配误导性文字发布，引发大量不实解读，扰乱网络秩序，造成不良社会影响。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH009,曝全季、维亚纳等酒店保洁把客用毛巾当“万能抹布”（2026）,要求问责,3级（主榜热搜11-30）,快速级（4-24h）,4级（显著修复）,行动补救型,品牌方/大中型企业,"微博文娱榜 / 主榜热搜词条,跨平台内容搬运博主（B站/豆瓣/小红书内容截图搬运）",产品质量缺陷 / 消费者权益受损,无,,,,,,,,,,,,国家知识产权局数据显示，2023年至今已驳回127.3万件误导性商标申请，宣告无效超3300件，含白象“多半袋”、千禾“0添加”等案例。目前涉事品牌相关产品已下架。,2026年5月24日，央视《法治在线》曝光“心机商标”乱象，直指陈克明、今麦郎等品牌将“手擀”“手打”等品质词汇注册为商标，用于机器生产的产品包装，误导消费者。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH010,央视曝光陈克明、今麦郎等品牌心机商标乱象（2026）,"要求问责,要求政策/规则修改",3级（主榜热搜11-30）,常规级（24-48h）,3级（恶化控制）,行动补救型,品牌方/大中型企业,微博文娱榜 / 主榜热搜词条,产品质量缺陷 / 消费者权益受损,无,,,,,,,,,,,,黄埔区人社局当日表态企业做法不妥，媒体跟进定性为"赤裸裸的就业歧视"，企业压力陡增后撤下限制。,广州多益网络在校招系统中将"广东工业大学"整体列入黑名单，理由是该校罗姓老师在软件企业认定评审中"颠倒是非"。学生在投递简历时直接弹窗"无法投递"。,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
